;count;mean;std;min;25%;50%;75%;max;cv
%_América do Norte;27.0;15.357205217786102;12.347315310013027;0.21519704020942299;6.92000078953008;10.710081562246295;22.903198474227953;51.29109693872164;0.8040079646596673
%_América do Sul;27.0;12.263643433821395;14.0349967482691;0.04263754037375843;2.5402824656769063;7.048504979923037;19.600347187463154;53.8847222232381;1.1444394012274168
%_Europa;27.0;20.125805489967227;11.559815216855547;5.9463271423819055;14.487198792706872;16.10643128604933;23.326229816634132;53.76535942685536;0.5743777670224502
%_Oceania;27.0;0.8036635822811403;1.2089484129559416;0.0;0.09793685422243316;0.3544432470937194;0.8233250277260169;4.709131905060594;1.5042966231273414
%_Oriente Médio;27.0;4.929268246833407;6.540054424797667;0.17607306040346246;1.1985485750176226;3.412322015220847;5.831263668470606;33.1666141905901;1.326779979766579
%_África;27.0;9.454604537945258;7.207665620561141;1.0777876647814986;4.245033587102867;8.614918073883093;11.241800510948078;34.25144676367333;0.7623444842810487
%_Ásia (Exclusive Oriente Médio);27.0;37.06580949136547;20.20160446820398;1.611678970910949;22.993966126619167;38.156515347698964;49.013784178351344;81.32149078780104;0.5450199185022512
%_China;27.0;23.44927138042281;18.780074318786905;0.6195445023024345;5.68737257972403;22.26755884689164;36.244324363107225;70.30528949957738;0.8008809320389333
%_Estados Unidos;27.0;9.984557661973158;10.09450542202976;0.21519704020942299;4.297021400514839;6.155392032325108;12.627341762261114;43.87336119790656;1.0110117807697527
%_Argentina;27.0;3.7100181560773855;6.634658293783539;0.0;0.12812015725016476;1.967810964507603;4.092113130355704;32.99667764710198;1.7883088477384663
%_Índia;27.0;1.4886961335475286;1.3245926939568688;0.0816973418747083;0.38935730025038406;1.1755945356967334;2.2894878055163037;5.453450971017693;0.889767000872364
%_Países Baixos (Holanda);27.0;4.449679246198613;6.064146055132108;0.02507223749949936;1.6372311470031216;2.852264132312331;3.5981431311257652;24.139937593111675;1.3628276825375094
%_Chile;27.0;1.2075776237880163;1.508551515790922;0.0;0.06647251825677503;0.523977077865936;2.3712680875166514;5.078398608012648;1.249237718614551
%_Japão;27.0;2.168535706323837;5.138801362448102;0.0;0.20903366593682648;0.6406047761694493;1.4688286399932848;26.60237957187661;2.3697102830552614
%_México;27.0;1.8930502328489145;2.025671243451259;0.0;0.3395890871465672;1.0559882289980966;2.723633806345819;6.779166014838137;1.0700567836505632
N_Países_Destino;27.0;113.51851851851852;48.61336502711224;38.0;73.0;122.0;142.5;198.0;0.4282417147575956
Log_Valor_Total;27.0;21.971112142177848;1.9836328781410344;18.401510411715527;20.403277962901093;21.861973653121503;23.580839757019973;24.9810790083694;0.09028368092178016
HHI_Destinos;27.0;0.15878662186414896;0.09289407209047157;0.047676916292954716;0.09426374553010974;0.14174126901396794;0.19004881000954515;0.5025551965406615;0.5850245505565813
%_Desenvolvida;27.0;37.52262013872785;21.793932360828435;8.071406932505052;21.57579376921187;35.190876246503144;52.785336666296075;81.80961797712604;0.5808211761399487
%_Emergente;27.0;62.47737986127215;21.793932360828435;18.190382022873965;47.214663333703925;64.80912375349686;78.42420623078814;91.92859306749494;0.3488291667995802
