;PC1;PC2;PC3;PC4;PC5;PC6
%_América do Norte;0.33879342134624435;0.046777564589396275;0.1427525387985244;-0.22341570245199813;0.1371058798992465;-0.0575700048177294
%_América do Sul;-0.05885871111466856;0.29762647693070204;-0.3457468868924758;0.0770522917684032;-0.03927822189722575;-0.2640756701231815
%_Europa;0.29895945065278545;-0.1894424476569009;0.03698093739468217;0.06352059256161377;-0.3101875273859951;0.21293812954526462
%_Oceania;0.2347605908781789;0.07055565712928283;0.1080189361909008;0.012159462507923071;0.5257000671731678;-0.24761123020042852
%_Oriente Médio;-0.14357604939018206;0.01582328700500809;-0.08723330047675197;0.25771940644256175;0.38555341183458797;0.621862501645851
%_África;0.03698578272382928;0.1703671818136523;-0.3330798130185635;-0.02531044395244637;-0.1414830605924758;-0.10097289581228569
%_Ásia (Exclusive Oriente Médio);-0.3180154733479015;-0.19709213095418776;0.27240916233832074;-0.028458172471434187;0.015185364065043831;-0.0536727560666027
%_China;-0.3130786071720776;-0.1816764039007837;0.23513534545779666;-0.2305274984903565;-0.015694323944584185;-0.009796342867711
%_Estados Unidos;0.3352289217817088;0.05076893483027361;0.17635070518336668;-0.17393121565120903;0.22498607169816778;-0.065686792763098
%_Argentina;0.00744650763813269;0.37670165003111483;-0.09809985995699756;0.05235068819133053;-0.18053191525141923;-0.27564909868065357
%_Índia;-0.06282531288697396;-0.08535335862939405;0.27133119739663386;0.47080855281003736;-0.24541149370374588;-0.32274919606841423
%_Países Baixos (Holanda);0.27003720874396125;-0.09408331859935243;-0.07975938034600756;-0.19460066280744068;-0.38749642094238407;0.30633049936474493
%_Chile;-0.058342555226340506;0.3869145962035876;0.18247443704625807;0.06829117012905588;-0.19488435879471389;0.16325478711812078
%_Japão;0.045597480182487264;-0.14856977335281857;0.11115268696998491;0.619350843501659;0.10059272850624254;-0.06994427526508584
%_México;0.06611215292983995;0.3931609245337938;0.09281478336835902;-0.021122646406999134;0.22411346231000537;0.05682193976917882
N_Países_Destino;-0.054411257522761755;0.3504731150143592;0.39323856446447614;-0.0022786629764910433;-0.0452000457329024;0.17018753532428582
Log_Valor_Total;-0.10169528104796859;0.22596048949472639;0.4745188708079345;-0.14911596368159125;-0.17025100024644274;-0.004480976887682106
HHI_Destinos;-0.16906192322959396;-0.2838929315919171;0.02955246798263414;-0.3176873963377513;0.09933009113776083;-0.2714880842061657
%_Desenvolvida;0.3708719804198446;-0.11353897541910499;0.1472210900648124;0.08531942328596284;-0.050622072262212436;-0.048193474612754826
%_Emergente;-0.3708719804198446;0.11353897541910506;-0.14722109006481232;-0.08531942328596284;0.0506220722622123;0.04819347461275488
